index,target,predicted,error,target_error,predicted_error,dataset,noncomformity,alpha_val,sd
0,-54.54596,-54.649796,0.10383600000000115,0.103836,0.12933174,train,3.6728501110955762,0.47501609562718417,0.23750804781359208
1,-56.25607,-56.396713,0.1406429999999972,0.140643,0.12421295,train,3.6728501110955762,0.45621554720700924,0.22810777360350462
2,-57.10054,-57.157043,0.056502999999999304,0.056503,0.12163736,train,3.6728501110955762,0.4467557911893726,0.2233778955946863
3,-57.11523,-57.14634,0.0311100000000053,0.03111,0.1246585,train,3.6728501110955762,0.4578519855740079,0.22892599278700396
4,-57.15923,-57.151875,0.007355000000003997,0.007355,0.12342672,train,3.6728501110955762,0.4533278422641626,0.2266639211320813
5,-57.11428,-57.147285,0.03300499999999573,0.033005,0.12512356,train,3.6728501110955762,0.45956008124667397,0.22978004062333698
6,-57.0515,-57.14758,0.09608000000000061,0.09608,0.12173158,test,3.6728501110955762,0.44710184712684004,0.22355092356342002
7,-57.1047,-57.04096,0.0637400000000028,0.06374,0.124921985,train,3.6728501110955762,0.45881972648552993,0.22940986324276497
8,-57.24465,-57.36147,0.11681999999999704,0.11682,0.120283596,test,3.6728501110955762,0.4417836189315754,0.2208918094657877
9,-57.14364,-57.225048,0.08140800000000326,0.081408,0.123443164,train,3.6728501110955762,0.45338823861138944,0.22669411930569472
10,-57.08211,-57.25171,0.16960000000000264,0.1696,0.124532305,train,3.6728501110955762,0.45738849025423817,0.22869424512711908
11,-57.24219,-57.43645,0.19425999999999988,0.19426,0.11732649,train,3.6728501110955762,0.43092261183095404,0.21546130591547702
12,-57.19344,-57.469746,0.27630599999999816,0.276306,0.117776506,train,3.6728501110955762,0.4325754531465488,0.2162877265732744
13,-57.10543,-57.254307,0.14887699999999882,0.148877,0.118482865,train,3.6728501110955762,0.43516980387817217,0.21758490193908608
14,-56.94473,-56.99208,0.04735000000000156,0.04735,0.12405191,train,3.6728501110955762,0.4556240714251184,0.2278120357125592
15,-57.19404,-57.33636,0.142319999999998,0.14232,0.11831592,train,3.6728501110955762,0.43455663991637533,0.21727831995818767
16,-57.19221,-57.36117,0.16895999999999844,0.16896,0.11845988,val,3.6728501110955762,0.43508538341836867,0.21754269170918433
17,-57.1634,-57.364853,0.20145299999999366,0.201453,0.117347404,train,3.6728501110955762,0.43099942581817746,0.21549971290908873
18,-57.16223,-57.355717,0.19348699999999752,0.193487,0.11738569,train,3.6728501110955762,0.43114004455753085,0.21557002227876543
19,-57.21135,-57.39022,0.1788699999999963,0.17887,0.12047119,train,3.6728501110955762,0.4424726235753163,0.22123631178765815
20,-57.17715,-57.192505,0.015354999999999563,0.015355,0.11357671,train,3.6728501110955762,0.41715023194137,0.208575115970685
21,-56.91159,-56.99853,0.08694000000000557,0.08694,0.11824804,train,3.6728501110955762,0.4343073268508341,0.21715366342541706
22,-56.93387,-57.121708,0.18783799999999928,0.187838,0.12142995,train,3.6728501110955762,0.44599400534783024,0.22299700267391512
23,-57.01813,-57.154797,0.13666700000000276,0.136667,0.11173269,train,3.6728501110955762,0.41037742287950757,0.20518871143975378
24,-56.90525,-57.07357,0.16831999999999425,0.16832,0.11129093,train,3.6728501110955762,0.40875490461443,0.204377452307215
25,-56.71124,-56.652897,0.058342999999993594,0.058343,0.11241743,test,3.6728501110955762,0.41289237026457914,0.20644618513228957
26,-57.12097,-57.158092,0.03712200000000365,0.037122,0.112965524,train,3.6728501110955762,0.41490543737337,0.207452718686685
27,-56.98201,-56.974293,0.00771699999999953,0.007717,0.10255204,test,3.6728501110955762,0.376658271507078,0.188329135753539
28,-57.13107,-57.179935,0.04886499999999927,0.048865,0.101943165,val,3.6728501110955762,0.3744219648956847,0.18721098244784234
29,-56.53138,-56.36004,0.17134000000000071,0.17134,0.113002,test,3.6728501110955762,0.4150394082540223,0.20751970412701115
30,-56.74447,-56.611366,0.133104000000003,0.133104,0.11727363,train,3.6728501110955762,0.4307284649740815,0.21536423248704076
31,-56.59836,-56.67353,0.07516999999999996,0.07517,0.113085225,train,3.6728501110955762,0.41534508120451824,0.20767254060225912
32,-56.83478,-56.907406,0.07262599999999964,0.072626,0.11453633,train,3.6728501110955762,0.4206747723649796,0.2103373861824898
